name;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
'unknown';0.400000;6.614664e+01;7.966002e-01;8.351069e-02
'unknown';0.410000;6.447923e+01;7.973962e-01;7.276303e-02
'unknown';0.420000;4.208171e+01;5.282603e-01;6.566978e-02
'unknown';0.430000;2.098340e+01;2.634948e-01;5.817914e-02
'unknown';0.440000;0;0;7.241517e-02
'unknown';0.450000;0;0;6.641424e-02
'unknown';0.460000;0;0;5.192246e-02
'unknown';0.470000;0;0;2.498151e-02
'unknown';0.480000;1.933707e+01;2.572517e-01;4.332916e-02
'unknown';0.490000;4.009547e+01;5.173334e-01;5.113796e-02
'unknown';0.500000;4.009547e+01;5.173334e-01;5.113796e-02
'unknown';0.510000;2.075840e+01;2.600817e-01;3.598665e-02
'unknown';0.520000;0;0;4.748959e-02
'unknown';0.530000;1.900963e+01;2.495683e-01;7.950625e-02
'unknown';0.540000;4.085276e+01;4.890898e-01;6.992435e-02
'unknown';0.550000;6.634346e+01;7.409616e-01;3.790768e-02
'unknown';0.560000;7.009741e+01;7.459116e-01;1.246305e-02
'unknown';0.570000;4.825428e+01;5.063901e-01;2.090255e-02
'unknown';0.580000;2.276358e+01;2.545184e-01;2.090255e-02
'unknown';0.590000;0;0;4.680242e-02
'unknown';0.600000;0;0;6.823220e-02
'unknown';0.610000;0;0;1.007041e-01
'unknown';0.620000;0;0;8.443638e-02
'unknown';0.630000;0;0;7.587277e-02
'unknown';0.640000;0;0;7.587277e-02
'unknown';0.650000;0;0;6.805073e-02
'unknown';0.660000;1.224082e+02;2.565700e-01;7.400088e-02
'unknown';0.670000;2.453738e+02;5.269375e-01;5.045811e-02
'unknown';0.680000;3.711125e+02;8.070630e-01;6.552856e-02
'unknown';0.690000;3.758947e+02;8.373442e-01;7.771979e-02
'unknown';0.700000;3.817603e+02;8.604611e-01;2.011063e-01
'unknown';0.710000;3.848558e+02;8.732503e-01;3.379647e-01
'unknown';0.720000;3.825191e+02;8.782768e-01;3.839615e-01
'unknown';0.730000;3.759925e+02;8.726457e-01;4.651142e-01
'unknown';0.740000;3.631435e+02;8.612005e-01;5.682986e-01
'unknown';0.750000;2.641864e+02;8.117030e-01;7.218398e-01
'unknown';0.760000;1.661627e+02;7.739535e-01;5.788627e-01
'unknown';0.770000;7.410784e+01;7.507591e-01;4.250543e-01
'unknown';0.780000;7.223300e+01;7.642148e-01;2.204269e-01
'unknown';0.790000;7.176662e+01;7.668858e-01;2.074520e-01
'unknown';0.800000;7.118601e+01;7.532520e-01;1.322351e-01
'unknown';0.810000;4.716433e+01;7.224951e-01;1.869127e-01
'unknown';0.820000;2.334989e+01;6.853151e-01;1.870673e-01
'unknown';0.830000;0;6.728830e-01;1.808014e-01
'unknown';0.840000;5.696518e+01;7.088675e-01;1.330033e-01
'unknown';0.850000;1.128959e+02;7.674507e-01;1.744092e-01
'unknown';0.860000;1.681760e+02;8.153313e-01;1.874275e-01
'unknown';0.870000;1.657693e+02;8.368177e-01;2.629653e-01
'unknown';0.880000;1.636010e+02;8.472819e-01;3.798007e-01
'unknown';0.890000;1.611786e+02;8.489054e-01;5.770356e-01
'unknown';0.900000;1.582880e+02;8.483027e-01;6.107413e-01
'unknown';0.910000;1.555523e+02;8.448353e-01;4.817729e-01
'unknown';0.920000;1.530892e+02;8.478324e-01;4.658867e-01
'unknown';0.930000;1.512548e+02;8.471671e-01;3.761519e-01
'unknown';0.940000;1.497375e+02;8.468714e-01;3.634180e-01
'unknown';0.950000;1.486039e+02;8.417906e-01;2.168698e-01
'unknown';0.960000;1.479669e+02;8.407542e-01;2.168698e-01
'unknown';0.970000;1.477009e+02;8.394127e-01;1.581330e-01
'unknown';0.980000;1.476005e+02;8.391590e-01;2.796189e-01
'unknown';0.990000;1.473022e+02;8.362024e-01;2.599331e-01
'unknown';1.000000;1.465799e+02;8.305528e-01;4.208806e-01
'unknown';1.010000;1.459440e+02;8.273591e-01;2.681634e-01
'unknown';1.020000;1.458243e+02;8.280377e-01;2.511242e-01
'unknown';1.030000;1.463422e+02;8.335862e-01;1.794871e-01
'unknown';1.040000;1.473013e+02;8.373609e-01;1.934409e-01
'unknown';1.050000;1.484470e+02;8.398766e-01;2.796326e-01
'unknown';1.060000;1.495613e+02;8.394110e-01;2.532882e-01
'unknown';1.070000;1.503353e+02;8.397315e-01;2.893579e-01
'unknown';1.080000;1.507247e+02;8.379856e-01;3.361302e-01
'unknown';1.090000;1.509927e+02;8.355427e-01;3.716501e-01
'unknown';1.100000;1.513314e+02;8.302412e-01;3.248411e-01
'unknown';1.110000;1.517874e+02;8.273619e-01;2.945471e-01
'unknown';1.120000;1.523938e+02;8.239943e-01;3.085943e-01
'unknown';1.130000;1.531677e+02;8.241690e-01;3.712782e-01
'unknown';1.140000;1.542219e+02;8.219118e-01;3.389530e-01
'unknown';1.150000;1.554273e+02;8.213810e-01;3.368535e-01
'unknown';1.160000;1.565809e+02;8.181807e-01;3.094122e-01
'unknown';1.170000;1.574224e+02;8.216429e-01;3.152817e-01
'unknown';1.180000;1.577625e+02;8.289945e-01;2.409593e-01
'unknown';1.190000;1.575173e+02;8.372426e-01;2.718654e-01
'unknown';1.200000;1.570046e+02;8.373526e-01;2.235644e-01
'unknown';1.210000;1.563326e+02;8.322303e-01;2.980703e-01
'unknown';1.220000;1.553353e+02;8.272905e-01;2.777292e-01
'unknown';1.230000;1.543940e+02;8.244650e-01;3.162634e-01
'unknown';1.240000;1.543707e+02;8.214014e-01;2.489190e-01
'unknown';1.250000;1.030894e+02;5.461424e-01;2.187512e-01
'unknown';1.260000;5.187799e+01;2.717950e-01;1.449894e-01
'unknown';1.270000;0;0;1.144480e-01
'unknown';1.280000;2.550761e+01;2.614829e-01;7.875666e-02
'unknown';1.290000;5.122839e+01;5.265728e-01;8.436301e-02
'unknown';1.300000;7.657434e+01;7.909620e-01;7.272045e-02
'unknown';1.310000;5.106673e+01;5.294791e-01;7.966954e-02
'unknown';1.320000;2.534595e+01;2.643893e-01;8.806879e-02
'unknown';1.330000;2.507052e+01;2.621807e-01;9.714404e-02
'unknown';1.340000;5.024388e+01;5.216251e-01;6.224034e-02
'unknown';1.350000;5.024388e+01;5.216251e-01;4.852201e-02
'unknown';1.360000;4.360199e+01;5.259077e-01;5.350935e-02
'unknown';1.370000;3.729391e+01;5.315310e-01;8.318140e-02
'unknown';1.380000;5.668532e+01;7.950807e-01;7.955334e-02
'unknown';1.390000;3.825669e+01;5.286176e-01;6.513327e-02
'unknown';1.400000;1.939141e+01;4.593533e-01;5.891380e-02
'unknown';1.410000;0;1.958036e-01;7.911488e-02
'unknown';1.420000;0;1.958036e-01;9.538261e-02
'unknown';1.430000;2.517350e+01;2.590601e-01;8.740296e-02
'unknown';1.440000;4.891180e+01;5.176698e-01;7.054267e-02
'unknown';1.450000;4.891180e+01;5.176698e-01;4.852219e-02
'unknown';1.460000;2.373831e+01;2.586097e-01;5.262551e-02
'unknown';1.470000;0;0;6.663110e-02
'unknown';1.480000;0;0;1.092473e-01
'unknown';1.490000;0;2.499581e-01;1.291292e-01
'unknown';1.500000;0;2.499581e-01;1.265586e-01
